entry_date,ticker,exit_date,stock_entry_price,stock_exit_price,call_premium_pct,pnl_pct,leg
2024-09-23,VLO,2024-11-18,130.0299,134.7541,4.1131,-0.48,primary
2024-09-23,WM,2024-11-18,201.019,219.506,1.5587,7.64,primary
2024-09-30,EPD,2024-11-25,26.8035,31.6399,2.5153,15.53,primary
2024-09-30,ET,2024-11-25,14.583,18.1039,2.5153,21.63,primary
2024-09-30,FANG,2024-11-25,187.1839,171.6611,2.5153,-2.52,primary
2024-10-07,APH,2024-12-02,64.7888,73.337,4.2557,8.94,primary
2024-10-07,BIIB,2024-12-02,188.38,157.78,3.6163,-3.62,primary
2024-10-07,ECL,2024-12-02,250.0857,246.4821,3.2377,-3.24,primary
2024-10-07,GS,2024-12-02,500.8439,581.7278,3.3862,12.76,primary
2024-10-07,ROP,2024-12-02,546.2853,546.7011,2.8004,-2.72,primary
2024-10-07,TEL,2024-12-02,144.6631,150.107,4.2557,-0.49,primary
2024-10-07,VRTX,2024-12-02,481.71,462.1,3.6163,-3.62,primary
2024-10-14,GD,2024-12-09,301.0415,256.7655,1.3723,-1.37,primary
2024-10-14,MRK,2024-12-09,103.1655,96.8067,2.2435,-2.24,primary
2024-10-14,MSFT,2024-12-09,413.3253,442.9836,2.4678,4.71,primary
2024-10-21,ADI,2024-12-16,224.7772,207.6938,1.5474,-1.55,primary
2024-10-21,LRCX,2024-12-16,76.6476,71.0534,5.3632,-5.36,primary
2024-10-21,OXY,2024-12-16,50.0033,45.8965,2.2028,-2.2,primary
2024-10-21,TXN,2024-12-16,197.8208,179.8199,5.2791,-5.28,primary
2024-10-28,C,2024-12-23,61.1267,68.7252,3.4864,8.94,primary
2024-10-28,CDNS,2024-12-23,282.09,305.03,3.4695,4.66,primary
2024-10-28,INTU,2024-12-23,616.5232,633.2121,2.9915,-0.28,primary
2024-10-28,WM,2024-12-23,209.3137,200.2318,3.5347,-3.53,primary
2024-11-04,AMAT,2024-12-30,189.4445,168.1648,5.1736,-5.17,primary
2024-11-04,EPD,2024-12-30,27.9548,29.2506,2.3449,2.29,primary
2024-11-04,F,2024-12-30,9.9684,9.0999,4.9149,-4.91,primary
2024-11-04,FANG,2024-12-30,174.9396,165.2524,2.3449,-2.34,primary
2024-11-04,GD,2024-12-30,302.0077,257.0193,1.2998,-1.3,primary
2024-11-04,IQV,2024-12-30,219.23,197.39,1.3157,-1.32,primary
2024-11-04,KLAC,2024-12-30,678.8165,650.5965,5.1736,-5.17,primary
2024-11-04,MCO,2024-12-30,471.707,474.4984,1.3001,-0.71,primary
